2024-04-06 21:57:17 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:57:18 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:57:19 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:57:20 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:57:21 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:57:22 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:57:23 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:57:24 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:57:25 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:57:26 - GPU Usage: 0%, Memory Used: 352.38 MB
